ds,yhat,yhat_lower,yhat_upper,category_num,category_name
2025-01-01,25829.51652519055,6902.231822262116,43794.301155929104,170,Diamond Bracelets
2025-02-01,33525.86299977808,13972.326976772367,51929.19661293959,170,Diamond Bracelets
2025-03-01,29468.958048046392,10289.722727529972,47518.24817795143,170,Diamond Bracelets
2025-04-01,24201.05132291881,5744.080158094432,42271.69687720721,170,Diamond Bracelets
2025-05-01,41747.486809835355,23466.069891675474,59347.73999346035,170,Diamond Bracelets
2025-06-01,38108.26488873111,21659.909012181073,58222.95381310009,170,Diamond Bracelets
2025-07-01,35458.977315925855,17313.245446149558,53069.800909701225,170,Diamond Bracelets
2025-08-01,32865.373352204726,15741.525213600053,51756.31539825174,170,Diamond Bracelets
2025-09-01,46515.591614908866,27670.29116388996,64061.0375537987,170,Diamond Bracelets
2025-10-01,47448.448308606385,30220.46601596861,66233.71286386719,170,Diamond Bracelets
2025-11-01,38283.935700446724,21469.539177956154,56077.7239564269,170,Diamond Bracelets
2025-12-01,140603.19295483636,121843.87045763494,159564.9208313229,170,Diamond Bracelets
2025-01-01,96243.85611808905,80860.57255494682,111612.42381929664,100,Diamond Engagement Rings
2025-02-01,119682.66608281754,104743.8087233842,135596.5842699921,100,Diamond Engagement Rings
2025-03-01,109954.98139362743,94340.97864289946,125325.49381252294,100,Diamond Engagement Rings
2025-04-01,115724.39720562012,101124.03807864375,131553.62996377255,100,Diamond Engagement Rings
2025-05-01,116859.45938602077,102728.50099079435,133022.8190380589,100,Diamond Engagement Rings
2025-06-01,126310.40473109792,111218.49582772897,140896.61610116015,100,Diamond Engagement Rings
2025-07-01,122703.70691089112,107602.56075684319,139515.90178059155,100,Diamond Engagement Rings
2025-08-01,121981.21515453579,106262.71085638105,137146.64154491806,100,Diamond Engagement Rings
2025-09-01,109632.5166113729,94105.91462905913,125699.07376655527,100,Diamond Engagement Rings
2025-10-01,113686.15122630526,97950.17203145713,129205.76955259225,100,Diamond Engagement Rings
2025-11-01,121431.60181373017,105162.89367681695,135414.51392284813,100,Diamond Engagement Rings
2025-12-01,168538.4847034101,153668.19691688748,184127.7035906031,100,Diamond Engagement Rings
2025-01-01,21037.979532993566,13942.989505153233,28644.709511321627,160,Diamond Pendants
2025-02-01,31701.746321509203,24646.145541606955,39107.05269309494,160,Diamond Pendants
2025-03-01,10467.67665075334,3568.7009453277014,18198.3241058699,160,Diamond Pendants
